platform,operation,file_count,file_size,total_size_mb,elapsed_time,speed_mbps,concurrent_ops,iteration,status
AWS S3,download,10,102400,0.9765625,0.07409405708312988,13.18003816290347,25,2,success
Azure Blob Storage,download,10,102400,0.9765625,0.4177370071411133,2.3377447611916105,25,2,success
AWS S3,upload,10,102400,0.9765625,0.07567477226257324,12.90472994899229,25,3,success
Azure Blob Storage,upload,10,102400,0.9765625,1.1786019802093506,0.8285770059766376,25,3,success
AWS S3,download,10,102400,0.9765625,0.07063078880310059,13.826300350720851,25,3,success
Azure Blob Storage,download,10,102400,0.9765625,0.43590593338012695,2.2403055916846157,25,3,success
AWS S3,upload,10,102400,0.9765625,0.07113909721374512,13.727507632909823,50,1,success
Azure Blob Storage,upload,10,102400,0.9765625,0.6119229793548584,1.5958912035458708,50,1,success
AWS S3,download,10,102400,0.9765625,0.06686210632324219,14.60561974040793,50,1,success
Azure Blob Storage,download,10,102400,0.9765625,0.45039987564086914,2.168212188359199,50,1,success
AWS S3,upload,10,102400,0.9765625,0.07170295715332031,13.619556832389009,50,2,success
Azure Blob Storage,upload,10,102400,0.9765625,0.5978577136993408,1.6334363137298378,50,2,success
AWS S3,download,10,102400,0.9765625,0.06936097145080566,14.079423623595408,50,2,success
Azure Blob Storage,download,10,102400,0.9765625,0.40909290313720703,2.3871411420512163,50,2,success
AWS S3,upload,10,102400,0.9765625,0.07314515113830566,13.351021698669786,50,3,success
Azure Blob Storage,upload,10,102400,0.9765625,0.6646897792816162,1.469200415651719,50,3,success
AWS S3,download,10,102400,0.9765625,0.07676124572753906,12.722077276680333,50,3,success
Azure Blob Storage,download,10,102400,0.9765625,0.38439178466796875,2.54053946767759,50,3,success
AWS S3,upload,50,102400,4.8828125,0.32079005241394043,15.22120920912886,10,1,success
Azure Blob Storage,upload,50,102400,4.8828125,1.2925338745117188,3.7777056340937936,10,1,success
AWS S3,download,50,102400,4.8828125,0.2705399990081787,18.04839401900193,10,1,success
Azure Blob Storage,download,50,102400,4.8828125,0.6258401870727539,7.802011760923198,10,1,success
AWS S3,upload,50,102400,4.8828125,0.392855167388916,12.429039771713496,10,2,success
Azure Blob Storage,upload,50,102400,4.8828125,0.9469850063323975,5.156166641867721,10,2,success
AWS S3,download,50,102400,4.8828125,0.31693267822265625,15.406465901157892,10,2,success
Azure Blob Storage,download,50,102400,4.8828125,0.611903190612793,7.979714070636055,10,2,success
AWS S3,upload,50,102400,4.8828125,0.35155463218688965,13.889199723029826,10,3,success
Azure Blob Storage,upload,50,102400,4.8828125,0.7448949813842773,6.555034766009584,10,3,success
AWS S3,download,50,102400,4.8828125,0.4003739356994629,12.195630296137058,10,3,success
Azure Blob Storage,download,50,102400,4.8828125,0.5978248119354248,8.167631055981374,10,3,success
AWS S3,upload,50,102400,4.8828125,0.34622788429260254,14.102886340239019,25,1,success
Azure Blob Storage,upload,50,102400,4.8828125,0.8073587417602539,6.047884598801999,25,1,success
AWS S3,download,50,102400,4.8828125,0.30849218368530273,15.827994219072425,25,1,success
Azure Blob Storage,download,50,102400,4.8828125,0.8996028900146484,5.427742122883234,25,1,success
